Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-1085.6611443956574,-833.8522911071777,-2264.7867459318513
-851.3967402909245,-560.3599548339844,-1995.8781622187112
-938.4174600800014,-589.4994735717773,-2004.8418864731764
-937.6455802939348,-565.495491027832,-1965.9155927546121
-874.72159501964,-530.848503112793,-1913.2851629188433
-697.9182861709545,-447.7071762084961,-1764.7706284213405
-901.599896494481,-529.2749404907227,-1925.0004169560539
-1234.1029658056566,-911.1356735229492,-2296.970066722187
-1175.075506830411,-891.9382095336914,-2198.259589412782
-2534.022570056544,-2742.891311645508,-3606.037651951099
-2426.4548024431456,-2575.9506225585938,-3500.3475550688795
-2466.684441778038,-2638.378143310547,-3506.922004513647
-2669.224626626282,-2860.0287437438965,-3678.5498407996083
-2646.1619396185465,-2833.371162414551,-3663.4611065909194
-3014.3277065251145,-3408.994674682617,-4057.7336317168288
-2817.259359050877,-3182.2872161865234,-3893.740404178288
-2848.5125977202238,-3291.8143272399902,-3998.4777407347556
-3066.6172135229017,-3575.1771926879883,-4221.525733379882
-3006.854654283442,-3508.5010528564453,-4161.875361786592
-2423.0733554803837,-2591.085433959961,-3544.989602922788
-2734.4031829889504,-3054.642677307129,-3872.597274909015
-2158.2773964255216,-2163.248062133789,-3266.0093965468286
-1729.7219982930897,-1526.656150817871,-2799.138859325684
-1430.7219524894904,-1134.4313621520996,-2484.716315837907
-1633.9968780892511,-1379.5208930969238,-2619.6113847570496
-1302.1375454138995,-920.6199645996094,-2265.9748983888103
-1591.0242642873418,-1278.9058685302734,-2553.0689733939075
-1640.1278660131322,-1363.5993003845215,-2621.1228622085177
-1580.7212153038217,-1287.088394165039,-2549.390637019859
-1559.9156367494252,-1245.0957298278809,-2525.1414339727294
-1122.0670339593114,-707.9172134399414,-2057.0730349737455
-914.5289489964973,-510.88571548461914,-1857.9071778133032
-1225.4828230954922,-852.6992797851562,-2215.4919265377907
-686.4529904168129,-350.0819206237793,-1655.1037431289453
-1393.2179482814056,-1120.2478408813477,-2347.238356276966
-1115.1453493082006,-745.9616661071777,-2085.631511579993
-2000.3902610952803,-1865.994930267334,-2993.814770689218
-2571.3210518107235,-2670.9938049316406,-3601.9096888637323
-2479.12082592939,-2592.4229621887207,-3543.3439229809396
-2929.9723580810182,-3199.124336242676,-4011.5474846210454
-2660.033068115104,-3002.5291442871094,-3766.6756921935425
-3196.538006817738,-3584.6829414367676,-4324.950082710644
-2772.564476503452,-3000.4119873046875,-3850.081321007401
-2623.767286450696,-2759.227752685547,-3679.564469361363
-2381.025654329816,-2389.5978927612305,-3396.1383658641926
-2501.1101684265636,-2558.5126876831055,-3504.0919776746177
-2563.9918255667108,-2671.215534210205,-3603.375401095587
-2891.9485998332566,-3183.2456588745117,-3967.335544129361
-2116.9856889698017,-2293.8966751098633,-3168.9569675037733
-2396.639208577038,-2737.276554107666,-3426.9436538199116
-2222.0413707251632,-2624.974250793457,-3218.2058762207116
-1953.8000539601646,-2284.548282623291,-2900.7789848233438
-2006.4052674160823,-2402.8658866882324,-2968.542167593865
-2288.8106291873605,-2924.5877265930176,-3305.816331177489
-2642.072802903254,-3561.9306564331055,-3662.150313663671
-2712.9678798700224,-3700.9406089782715,-3744.6039424503315
-2360.2024551579557,-3075.8285522460938,-3411.752657522291
-2377.701797640939,-3035.9816551208496,-3422.485799297019
-2337.949234038219,-3054.5639991760254,-3410.3157668265026
-2294.3801540417835,-2866.687774658203,-3241.2838192573136
-2274.273667680443,-2747.4117279052734,-3146.805388541188
-2217.455963551956,-2514.517307281494,-3021.0025123633086
-2245.062175589194,-2490.527629852295,-3026.1333760395974
-2088.450299135513,-2263.8344764709473,-2878.397816736086
-1638.033132212416,-1546.1397171020508,-2401.605895812189
-1388.4331236938517,-1194.2625045776367,-2158.3148357625264
-1198.6208762796907,-853.7721633911133,-1944.025263426952
-1028.2962211303702,-635.5977058410645,-1816.24190508465
-1264.1099241855568,-872.6835250854492,-1971.5366811634806
-1126.0172912480505,-795.1998710632324,-1857.4089110200982
-1045.4517836994535,-726.3064384460449,-1841.1609510857077
-923.4886191236776,-603.6901473999023,-1740.7859185578116
-804.6941133035033,-418.3030128479004,-1554.1739294259805
-753.4406887422525,-337.0928764343262,-1504.918716740515
-864.938497758759,-247.95055389404297,-1555.8465263996484
-740.314651325682,-295.69387435913086,-1466.1800014516384
-641.8128701673269,-204.8349380493164,-1316.253217445699
-588.0134215639816,-60.58216094970703,-1241.9957897247316
-886.0921070667408,-237.12158203125,-1533.869318913301
-855.695538501814,-272.28355407714844,-1479.174793139421
-650.8668394820631,-146.77047729492188,-1272.1759874990946
-495.0404319585838,-96.95291519165039,-1109.561816997469
-541.9186556835853,-51.61285400390625,-1198.5473962019778
-836.5806823639526,-351.90582275390625,-1491.3702266812675
-863.3454639814275,-388.99898529052734,-1364.1896814075164
-1120.3213283467287,-617.1154975891113,-1602.8016442910537
-1374.7245503708705,-825.4337310791016,-1866.65121661778
-1046.5963531081645,-553.4720420837402,-1501.5715017169703
-970.1448411121681,-483.25538635253906,-1477.8380479008326
-386.12030261969977,-123.96097183227539,-1000.6007516006393
-276.252768428357,-127.48003005981445,-938.6492793008206
-229.71010806756397,-122.70927429199219,-952.7055547946891
-250.18573704419654,-171.4468002319336,-1112.5931489869317
-151.1932716819732,-165.28844833374023,-1022.1408661248295
-400.53562009380914,-177.84833908081055,-1283.9166132764271
-398.96612898034533,-294.5709228515625,-1415.4778447435199
-303.8991755213942,-189.1636848449707,-1231.7749584839783
-498.37799517896326,-368.1778907775879,-1537.0849241591848
-290.1646111769688,-289.7500991821289,-1364.53316354071
-127.79128655838585,-231.4281463623047,-1226.4701024598933
-686.8684126525073,-739.7103309631348,-1888.5134503535003
-851.7566012827988,-1003.5896301269531,-2119.5472199541005
-1040.3745175886193,-1229.6819686889648,-2309.5040820904933
-1108.7406454219758,-1338.4437561035156,-2420.727557456349
-1030.3016736482841,-1283.1401824951172,-2345.9510676924456
-1057.8917669784717,-1314.6543502807617,-2362.253591508624
-1001.3998191340809,-1154.0436744689941,-2295.198830772436
-2159.622754136844,-2794.654369354248,-3399.020185570432
-2522.0832796200566,-3226.318359375,-3741.8263342127257
-2461.0619047225628,-3048.520088195801,-3658.9464460890094
-2440.3339970936427,-2956.116199493408,-3639.2602590296974
-2406.0329388949185,-2991.5714263916016,-3591.742648631474
-2323.36885426791,-2809.7963333129883,-3545.9835284514043
-1765.9536577415417,-2080.507278442383,-3083.544359882469
-1563.0318805095158,-1659.7509384155273,-2864.9660504507224
-1383.1129313028225,-1621.5848922729492,-2713.3402149295976
-1183.981174428936,-1120.762825012207,-2386.872468199733
-2029.9470864286159,-2251.28173828125,-3286.792852078434
-1903.6862383694106,-1967.4968719482422,-3074.45837295231
-2171.928365561415,-2335.3099822998047,-3354.7055335831665
-2014.276930665623,-2068.791389465332,-3188.1232729623853
-2121.825222430294,-2223.98042678833,-3310.215672909136
-2134.0994130402673,-2203.974723815918,-3310.8169275955875
-1853.318119852869,-1752.2335052490234,-2985.9270062117316
-1814.4857625184718,-1702.2085189819336,-2940.9313743723797
-1219.4371058004338,-911.6291999816895,-2286.31047558126
-1202.4095350325133,-888.4549140930176,-2267.6472060126375
-837.6454893278625,-495.9297180175781,-1900.0185011383878
-1367.1324106802995,-1059.408187866211,-2420.07366832462
-1345.7408249716905,-1034.0237617492676,-2387.5523633628686
-919.0032973108092,-536.1342430114746,-1903.5737846202767
-1108.127700200492,-942.7499771118164,-1897.3956836545844
-1468.9730029784782,-1396.6155052185059,-2274.1789268298417
-1660.4848685921527,-1652.3194313049316,-2498.4200720898148
-1752.088997673241,-1766.8604850769043,-2588.5482302267974
-2113.1474020955898,-2262.454032897949,-3024.8502706795307
-2205.0100841966487,-2384.8628997802734,-3074.946612212904
-2132.0186709458353,-2297.687530517578,-2997.536799199816
-2157.7129444708703,-2172.410488128662,-3073.919450703046
-2367.7381708343264,-2520.3537940979004,-3246.9790720141064
-3199.383667458226,-3671.708106994629,-3958.540290800421
-3151.1063673306103,-3613.114356994629,-3903.9448154393085
-3028.2702444579036,-3457.1456909179688,-3753.119543039547
-3561.7487650180105,-4051.380157470703,-4268.956165753765
-3702.226711012912,-4171.378612518311,-4405.027095121897
-3764.860583537601,-4232.661724090576,-4472.128694221565
-3982.2058855949113,-4402.527809143066,-4680.9131468528185
-4219.813634456217,-4550.1708984375,-4896.785301562067
-3871.0245176629383,-4323.012828826904,-4537.084399052924
-4404.600806853041,-4654.1547775268555,-5085.5375699011865
-4552.294125219093,-4684.531688690186,-5212.13995010673
-4114.544891705427,-4489.130973815918,-4729.820761204101
-4563.248907968845,-4669.175148010254,-5178.766333282286
-4532.069694924379,-4552.745819091797,-5103.178007492094
-4746.502860539744,-4560.685157775879,-5305.195236145624
-4493.0358297066905,-4576.3349533081055,-5053.105629756028
-4619.722951360406,-4655.907154083252,-5197.783504008476
-4500.585757469647,-4607.391357421875,-5084.12684759131
-4432.964934046398,-4597.19181060791,-5004.237640820465
-4605.34566019959,-4683.229923248291,-5194.617428034663
-4344.92964918869,-4530.35831451416,-4915.982317106278
-4067.226484372135,-4342.67520904541,-4580.361979437542
-4406.4842453481615,-4482.421875,-4921.168185334393
-4472.338173250551,-4553.096294403076,-5024.691034880437
-4657.8480937701825,-4670.448303222656,-5236.54429331692
-4703.711579079518,-4652.438163757324,-5277.403914832653
-4819.803931258921,-4663.1669998168945,-5397.6371702698425
-4352.435502307347,-4561.178684234619,-4904.241844086411
-4435.500525773086,-4560.105800628662,-4983.274049227803
-4421.323606617739,-4588.537216186523,-4985.5274550922695
-4445.842261220524,-4616.67537689209,-5034.409630091423
-4562.207667822385,-4716.639518737793,-5182.831467709109
-4435.781290485957,-4589.416980743408,-5029.8280333748635
-4711.420151747005,-4698.97985458374,-5295.920093270794
-5103.455036499529,-4762.938022613525,-5716.459712908369
-5067.383716442226,-4555.764198303223,-5632.207223552928
-4997.758928280457,-4634.156227111816,-5594.346455964511
-4762.33054650489,-4514.515399932861,-5309.581407532854
-4114.15381816847,-4215.738773345947,-4580.200417033855
-3806.0503918337795,-3952.7177810668945,-4187.2332664958485
-4126.421804519752,-3744.978904724121,-4463.5082612204405
-4146.7591126860725,-3588.7813568115234,-4500.482094246638
-3788.7500432373367,-3359.220027923584,-4140.137981918963
-3376.4599203860485,-3125.6532669067383,-3746.0284090070227
-2728.1574268706786,-2481.9302558898926,-3068.601636756463
-1745.8008879775166,-1424.088478088379,-2122.99582695659
-1535.9041602611173,-1255.18798828125,-1918.0425324815744
-1441.3002333700788,-1173.7847328186035,-1984.8869443523738
-1770.2444412774032,-1547.1267700195312,-2390.7475577296
-1680.958884796586,-1354.8588752746582,-2309.9120507504
-1489.5656811440413,-1159.207820892334,-2154.5294997158508
-1376.3977414566073,-1034.9750518798828,-2042.2657386996002
-1282.1442174193874,-909.9340438842773,-1972.0555633981069
-1165.2512045181284,-789.6566390991211,-1891.907711074491
-1140.6114739386394,-765.2950286865234,-1904.1605098033713
-1116.9131595625415,-773.5776901245117,-1921.7965167414568
-1287.0126826712296,-966.2032127380371,-2116.530296231015
-1133.784219806915,-796.7662811279297,-1949.7945879558101
-964.4528839986343,-601.9020080566406,-1749.2004381712961
-953.6436418504481,-630.8197975158691,-1794.570519563164
-1030.7265214742592,-640.9549713134766,-1854.8280997639201
-645.9513654987734,-351.99880599975586,-1487.0929080997128
-663.7389397694883,-404.1409492492676,-1553.0462024729027
-692.968333607831,-429.9044609069824,-1458.6088228654821
-598.2322549492525,-375.8668899536133,-1261.3002990824068
-615.3744497188756,-408.3895683288574,-1224.2919985633987
-148.32269479934627,-64.48745727539062,-667.5612910525152
-258.6109849334639,-77.49795913696289,-913.1498632472542
-743.3490062157272,-356.597900390625,-1480.9983967848373
-584.2870368037203,-235.2762222290039,-1484.0965380589025
-381.0753544301081,-109.16948318481445,-1250.006700146162
-726.717145682274,-359.32302474975586,-1700.4308810723223
-1416.340250151235,-1099.1835594177246,-2400.181664772301
-2021.2731747684863,-1915.9412384033203,-3050.291651791427
-1491.0194869544664,-1230.776309967041,-2399.844188209036
-1859.4901348322414,-1870.4938888549805,-2711.0492376951456
-1542.2794241276185,-1407.4301719665527,-2382.6223563258322
-1996.0544129253992,-1960.5016708374023,-2861.9061795798616
-1955.1975233065414,-1964.120864868164,-2790.4658939279743
-1760.9807194561376,-1565.8950805664062,-2631.7192797026796
-1576.9893258615045,-1323.3375549316406,-2532.9997499810206
-2072.0646108439482,-1989.4909858703613,-3059.477862453047
-1937.1386448417147,-1775.9943008422852,-2930.702558085794
-1948.0263251363824,-1785.435676574707,-2957.7216313334957
-2655.923120003689,-2809.6747398376465,-3697.5132912687263
-2461.7251140556345,-2512.2642517089844,-3480.3551407324617
-2529.6532573327427,-2599.010467529297,-3539.6517886971765
-2651.7515228864672,-2730.1454544067383,-3613.534132886026
-3081.4953126986966,-3309.023380279541,-4065.5853176637106
-3164.174840507993,-3471.493721008301,-4122.8472795063635
-3070.6043558534793,-3467.874526977539,-3937.0374495020815
-2946.0390792996154,-3340.6734466552734,-3775.03989617727
-3346.791518342236,-3821.0535049438477,-4199.452376949229
-3563.9070965368255,-4028.8639068603516,-4395.215526271617
-3388.9639476089624,-3875.291347503662,-4172.1718450156
-3609.7647315902695,-4091.305732727051,-4404.549300035872
-3356.3711855412557,-3838.4413719177246,-4062.7113310324607
-3586.113029814249,-4075.3555297851562,-4277.781899664195
-4042.414161311011,-4426.724910736084,-4743.254567654836
-4329.030599144701,-4431.967735290527,-4982.0993513220055
-4427.669993519974,-4530.458450317383,-5111.872077537784
-4861.811214729071,-4676.141738891602,-5656.811062384236
-4554.517920624238,-4684.481620788574,-5358.230728280044
-5457.37075460051,-4839.906692504883,-6339.80623875011
-5446.701242850298,-4802.255630493164,-6254.826680358763
-5919.146057055092,-4632.332324981689,-6711.767971674685
-5249.682521800402,-4622.468948364258,-5937.479019648054
-4039.8896708648526,-3974.5044708251953,-4589.826526361416
-3147.798746074106,-2749.021053314209,-3521.5987212835466
-2947.314350649022,-2460.6800079345703,-3452.2703521074886
-3066.567036545056,-2524.6596336364746,-3645.04974933249
-2670.457364670382,-2337.67032623291,-3381.0298050055094
-4247.094700828401,-3552.9041290283203,-5044.87089523957
-4113.363351257843,-3504.323959350586,-4816.2978915114645
-3639.176322301029,-2985.8922958374023,-4234.586027221379
-3170.043617908797,-2640.8028602600098,-3716.1370828644654
-2839.2080545420445,-2311.978340148926,-3387.5820553949798
-1842.6613399380906,-1409.9693298339844,-2397.818162003314
-1821.2404198350337,-1453.2780647277832,-2402.1212468095027
-1766.6657680252174,-1429.1954040527344,-2483.416898060897
-1628.2390939599202,-1197.7887153625488,-2363.41071582932
-1080.140066050149,-641.0837173461914,-1754.197899037881
-2041.5798814276984,-1620.2974319458008,-2839.564834821633
-966.7822554008146,-577.4831771850586,-1739.5870240322256
-1112.9298798144303,-747.1489906311035,-1911.2833663546032
-694.5670242042393,-354.18033599853516,-1514.444726827305
-780.5947000849759,-401.6304016113281,-1554.945677149339
-1424.0177025360451,-1065.7596588134766,-2312.730105780081
-1086.41619653246,-685.5154037475586,-1922.552120026549
-1063.6411373292328,-669.5938110351562,-1882.4574544958161
-1020.7564512729648,-609.1547012329102,-1794.5495355228052
-895.9525826942668,-466.9761657714844,-1645.4620522105067
-840.1040280045702,-413.8755798339844,-1610.7199762209195
-590.9861102798337,-298.3689308166504,-1432.9626254323985
-352.50039807565093,-103.5618782043457,-1153.855689988557
-722.8209601506318,-498.5332489013672,-1520.4200832055271
-630.3866269939747,-425.5414009094238,-1273.7062663120093
-1137.8339273191461,-1005.1774978637695,-1783.7816469994814
-1570.0716175253415,-1462.5263214111328,-2277.091896294846
-2144.9127597311162,-2291.6507720947266,-2874.730979507014
-2170.5557029186584,-2369.9426651000977,-2892.397315769586
-1510.5370518573397,-1304.4118881225586,-2317.020812683899
-1840.0103142944035,-1833.500862121582,-2595.9247755458264
-1887.0254395438476,-1893.14603805542,-2516.401394152657
-1983.2709561313454,-2083.9762687683105,-2630.971916960259
-2350.213785025218,-2514.324188232422,-2989.204071040995
-2241.8287771932983,-2467.532157897949,-2869.890544191502
-2796.483599719834,-3212.885856628418,-3431.123799700635
-2891.581291433771,-3333.0345153808594,-3517.831347724043
-2973.4647723665994,-3419.938087463379,-3594.860195354874
-3017.2871959959534,-3475.069999694824,-3679.427598765232
-3104.482177805617,-3570.077419281006,-3814.628380138944
-3107.813718395262,-3567.4381256103516,-3881.4515052908737
-3503.47149366916,-3984.9185943603516,-4329.243851451571
-3307.6033178016432,-3782.62996673584,-4125.334440808413
-3163.822926007403,-3630.380630493164,-4008.2149138848035
-3132.207399277534,-3564.1050338745117,-4049.9870855912386
-3291.6755842724237,-3715.481758117676,-4211.236813500051
-3560.8980002233893,-3954.291343688965,-4510.695247017152
-3615.237490503977,-4018.9290046691895,-4545.210570119651
-3689.8061041046362,-4062.2305870056152,-4603.90653677031
-3690.0163378864177,-4065.9284591674805,-4603.301248367656
-3604.4510402901224,-3992.02823638916,-4532.980200419981
-3434.7397707865557,-3739.306926727295,-4369.112538453186
-3248.2482940233663,-3492.908477783203,-4189.6627172998915
-3151.2484194485824,-3379.676342010498,-4076.521897641759
-3459.9554330322203,-3779.8333168029785,-4432.9500210482865
-3989.0726603911507,-4258.275032043457,-4967.983827725927
-4088.3798757470972,-4350.314140319824,-5073.95052309041
-4141.691533706383,-4414.6728515625,-5160.616977824908
-4316.815097234341,-4591.269493103027,-5392.715330091247
-4466.158674623574,-4589.6100997924805,-5453.709987706339
-4763.6768840092745,-4665.012359619141,-5576.6960945385645
-4406.736171749202,-4583.001136779785,-5215.586359735127
-4393.169169478536,-4443.297386169434,-5240.554580408204
-4263.556030145881,-4335.236549377441,-5187.714975363594
-4239.790369446381,-4266.242980957031,-5228.32973170489
-3534.5826142600713,-3674.8552322387695,-4541.565124295344
-3614.588170635671,-3405.9619903564453,-4575.020858425863
-2960.3380041779455,-2725.074291229248,-3921.5258167565253
-3597.6900064096153,-3253.040313720703,-4681.170266295601
-3178.761194423197,-2887.8092765808105,-4217.952620186952
-3031.0243840908506,-2807.2643280029297,-4092.2104956553217
-3672.8241633889415,-3040.616512298584,-4648.739255336534
-3635.6943559310553,-2958.2691192626953,-4550.499222850213
-4325.910813114995,-3580.770492553711,-5218.037733092309
-4529.427617954443,-3892.035484313965,-5355.109886228154
-3588.939494563285,-2930.01651763916,-4402.664286043023
-2986.1217607520343,-2423.572540283203,-3766.129155879068
-2688.2842682391756,-2142.8275108337402,-3516.3474427242
-2974.811003643783,-2414.259910583496,-3822.3509865675114
-3230.5251000661233,-2582.559585571289,-4111.6311219951385
-3390.1593940342773,-2745.8596229553223,-4356.424066675461
-3536.5712683774814,-2874.734401702881,-4523.665941681343
-3558.357347336525,-2911.527156829834,-4552.752589827645
-3150.323687303801,-2494.8549270629883,-4112.005257536104
-2565.958943173261,-1973.562240600586,-3514.973710254969
-2381.8898375319723,-1904.3970108032227,-3378.0405155996173
-2686.554884231353,-2101.8147468566895,-3674.607980259389
-2566.072866860273,-1949.0504264831543,-3525.261412157812
-2895.535823013837,-2276.794910430908,-3891.2567525995023
-2714.5177445276227,-2139.122486114502,-3721.1088006610516
-3218.0900533046083,-2571.3014602661133,-4237.975691710661
-2672.063549671895,-2120.697498321533,-3704.171807748655
-2629.6197602490497,-2052.8626441955566,-3651.525828511991
-2381.618946172822,-1756.5679550170898,-3360.729906832763
-2562.641396104526,-1929.8386573791504,-3507.1453644095736
