,ReguReg
399,-626.7771366616789
400,-591.1743378115796
401,-523.6261025342172
402,-390.03799261365054
403,182.0994383445745
404,-828.0946767366656
405,320.2161417021831
406,173.5450309405552
407,615.4241332952907
408,513.4593359244791
409,-156.56153048264213
410,193.0984361162732
411,218.63488922427402
412,257.4954797602019
413,375.6975502626276
414,430.8058733778633
415,738.5084508956343
416,983.5158558618845
417,639.9319838665583
418,734.235015239235
419,224.22808806794689
420,-202.82896733321806
421,-820.755689168596
422,-867.5628102811776
423,-128.0936990862433
424,-491.0515786723449
425,-535.2379233295565
426,-649.1793159451149
427,-1023.924580736488
428,-928.8272670387017
429,-1523.306738579785
430,-1629.7723450155877
431,-1723.9260218613156
432,-1763.6963012509536
433,-1853.231962662451
434,-1855.872917307548
435,-2281.241043714871
436,-2074.0962915143855
437,-1916.07536393789
438,-1864.2487246011951
439,-2026.9056232164812
440,-2303.736491495572
441,-2364.2577945503363
442,-2440.0380830881
443,-2440.816664607068
444,-2350.32741981512
445,-2158.024786001611
446,-1952.3325143780426
447,-1851.139283379852
448,-2168.7526501876728
449,-2739.83677098382
450,-2850.3460203655027
451,-2901.45991862207
452,-3090.5812477142354
453,-3253.5202985877772
454,-3641.5230421051515
455,-3254.9964698384333
456,-3257.4223021974826
457,-3126.104116615889
458,-3108.3477541680045
459,-2364.562120148925
460,-2474.8238446326313
461,-1786.8715731368013
462,-2472.0716947221163
463,-2024.6740467095315
464,-1863.17586245069
465,-2577.4183142893085
466,-2554.242411834724
467,-3288.008215909611
468,-3514.6643132776258
469,-2493.939822803572
470,-1848.9273235882931
471,-1531.8436187821574
472,-1835.6429835812596
473,-2125.2071860711812
474,-2305.714951598659
475,-2456.391960051339
476,-2483.721183982268
477,-2042.2651357716468
478,-1408.9240238859848
479,-1197.216887985784
480,-1534.9669842129433
481,-1414.0049195516199
482,-1761.834714385938
483,-1563.1702521680215
484,-2108.2188789078064
485,-1515.0857596107876
486,-1473.7219631737898
487,-1220.7918344241757
488,-1415.0560146089135
489,-1828.740890780215
490,-2599.9226741531056
491,-2028.598867587734
492,-1500.9616268988607
493,-452.0897801781104
494,-1648.7828633710658
495,-1560.3330446931288
496,-1471.892220734254
497,-1180.1386734745647
498,-952.4349698899796
499,-1084.2098220530772
500,-1187.979965994745
501,-1239.809354832788
502,-512.8306310005315
503,-12.996306945106399
504,146.6719911690566
505,-85.43956778961261
506,16.95738688529003
507,384.88869570215877
508,225.14647857726203
509,185.45122629946437
510,73.915273169323
511,169.78338436587643
512,109.75971288177443
513,113.31870872251088
514,209.42087178015555
515,464.9205466897768
516,965.7452770611637
517,941.0303432039959
518,879.4982430014924
519,691.3550021233999
520,963.2142271524905
521,1476.066486299739
522,1416.411868799339
523,1240.3939620308527
524,1135.9791253145866
525,1377.7463021539747
526,1222.3790638958158
527,1212.867482050746
528,740.377217427295
529,844.9584465137506
530,1187.7627546577241
531,1294.2663328203926
532,1539.9196820685663
533,1488.2157094775835
534,1179.0245899692188
535,1268.9584046174455
536,1131.774990082163
537,1157.6918977063037
538,920.6314543424326
539,641.4579714269248
540,889.0697667937683
541,619.3684868411713
542,871.1803055021154
543,739.2985163348858
544,455.8139503922442
545,537.3446115904048
546,685.0498828598743
547,637.6106736071239
548,345.6178697185681
549,197.88339131070975
550,287.0313331950182
551,142.7845052823778
552,201.2918254383893
553,-75.88169776100182
554,5.730538935705704
555,122.30650904564368
556,233.77243731032237
557,-101.17896912087501
558,-389.0290021174377
559,-666.9647005054385
560,-211.85595554502987
561,-694.5088702843005
562,-855.6519469847783
563,-1090.7288270734957
564,-1140.5669581324241
565,-1366.2371807044774
566,-1226.3420513493977
567,-1395.408385729096
568,-1668.7886369371524
569,-1226.316278621499
570,-1395.423504911615
571,-1437.2693616969896
572,-790.138243318865
573,-958.6452572076558
574,-1406.1888183377414
575,-1584.1177960221721
576,-1901.8903803705766
577,-1890.970213590598
578,-1785.94033730039
579,-1754.465357781305
580,-1597.6964669454771
581,-1196.9503127066453
582,-1095.6385638386082
583,-444.7676642817561
584,-883.2286081045702
585,-886.4313929475929
586,-713.5122081134566
587,-834.7408546632004
588,-848.8685900352629
589,-816.9190577371181
590,-486.684186017524
591,-38.68091800837135
592,236.4228952690922
593,482.257919845054
594,969.3914163086479
595,627.9520248780416
596,1113.2467365510483
597,1279.6051164124672
598,1351.272197845935
599,1171.8657748435699
600,765.1691326821688
601,420.2025357673279
602,128.46360613792766
603,-1047.5119663878088
604,-973.8056267501005
605,-911.2958044153582
606,-1125.3546717053973
607,-1345.0393346803878
608,-1587.253562755109
609,-2054.879953569009
610,-2166.4547466198987
611,-2279.9215834543324
612,-2166.090387881123
613,-2613.2937319117755
614,-2733.300543646595
615,-2872.5181262427623
616,-2753.5748747878547
617,-2344.571456910855
618,-2526.398582212178
619,-2005.7831244973452
620,-1924.3500626974978
621,-2200.888591869219
622,-2272.305512831441
623,-1992.8521466067084
624,-2196.472660787136
625,-2499.7353947293127
626,-2514.777860156985
627,-3410.985869237177
628,-3267.105799039446
629,-3297.7804021793672
630,-3823.5063834576877
631,-3979.3889320460057
632,-3957.2222696984495
633,-3741.948238799123
634,-4098.250264832956
635,-4230.472176830551
636,-4026.6754737397846
637,-3527.9688988569833
638,-3614.1120920173835
639,-3778.46389686953
640,-3504.149165477995
641,-3702.95191286509
642,-4287.459634578246
643,-4058.799769773039
644,-4233.733641346161
645,-3358.350314313843
646,-3133.2057466413703
647,-2796.0779783652088
648,-2155.2651207950444
649,-1959.3296998105893
650,-1511.1661941706332
651,-1466.541479689206
652,-1752.721011855803
653,-1457.354274088628
654,-1029.665513829061
655,-1654.7389289932576
656,-1577.4753557085667
657,-1516.516636942628
658,-2192.246515200626
659,-2197.2840164501217
660,-1937.237747830532
661,-2031.5969215310815
662,-1960.8120087813318
663,-1407.5253576143427
664,150.74382601659448
665,68.84655891795691
666,345.149794736709
667,173.70541759482597
668,460.238341882051
669,275.63324277398425
670,589.4696854193862
671,-241.2138260713512
672,-767.9145323484246
673,-1084.8748652512115
674,-1426.9357063863342
675,-1379.353097339657
676,-1822.3457796186663
677,-1881.5285128849512
678,-2512.3990087853836
679,-2560.5706678359998
680,-2995.756634701839
681,-2774.6630622410817
682,-2902.756345035613
683,-3118.907246872536
684,-3682.628003322947
685,-4070.0712950457378
686,-4481.534530310572
687,-4894.675227672612
688,-4782.720361404652
689,-4483.955021040361
690,-5245.584418374606
691,-5197.475609113
692,-5468.490977646509
693,-5164.274063515322
694,-5333.542966006137
695,-5180.358547380877
696,-5017.878257280516
697,-4718.854449993535
698,-4462.99236406621
699,-4293.307100182629
700,-3672.5152865720465
701,-4265.47012278564
702,-4213.291328506915
703,-3698.7720414662463
704,-3504.375205221723
705,-3692.4106839724072
706,-3825.539395779685
707,-3241.95811376648
708,-2652.0934783503435
709,-2353.4141250098155
710,-2194.4188388340294
711,-2391.089811066061
712,-2353.727544258987
713,-2325.6363286354886
714,-1816.4754041601407
715,-1454.6302216400575
716,-851.811915120417
717,-608.6761090468171
718,-553.0749672602199
719,-289.5237045121772
720,479.01004162600793
721,678.9867116239193
722,627.8981239442123
723,818.8163043133596
724,1193.2478096092752
725,1299.563712760166
726,1441.1342073095773
727,1703.5801280169294
728,1646.1517245471766
729,939.4849189512637
730,945.8327314726097
731,668.8760166615264
732,821.105320775809
733,992.5726838566113
734,847.1500034513142
735,686.9429862263333
736,1070.6782160983485
737,1339.9684293091595
738,1144.6895564099852
739,1106.2301407139325
740,1190.5922624268567
741,1035.7068931951912
742,1186.5784323539829
743,839.987690368079
744,873.7715046236316
745,656.1877218001445
746,135.29210371634366
747,1034.598856855384
748,1340.6293194230373
749,1674.9542051235146
750,850.1017203084746
751,-152.08633161541798
752,-720.6786417825869
753,-1072.2541556427038
754,-967.0723328318186
755,-1108.0707494913622
756,-542.1917802264866
757,-1097.6880982036278
758,-1541.8476553938003
759,-2124.8335886183963
760,-2229.042492662084
761,-1003.6890225083947
762,-1039.303766449999
763,-1253.5566917564115
764,-959.0666936954412
765,-1828.0924862626496
766,-1685.5085756312378
767,-1590.157190583448
768,-252.98860478322297
769,603.8594362528116
770,813.9741928368747
771,362.60885910106185
772,409.6116859975323
773,354.637734304687
774,738.7192341152838
775,822.1609742563853
776,933.6589070717208
777,825.9225235155193
778,226.05543917250134
779,-212.73048187972677
780,9.915313233237773
781,159.96668981600138
782,309.9063656849846
783,519.7897958637188
784,1117.7599815355222
785,1335.2733450934852
786,1250.2747431131731
787,913.4581188814321
788,871.6674717407747
789,1149.577157417488
790,1144.5972914026997
791,718.8867734081228
792,678.197875727721
793,782.251181100821
794,571.2172200538298
795,1068.8450471068618
796,401.68898728624
797,-154.31124344907977
798,274.37848678702437
799,-18.737893945538936
800,687.0452682050445
801,-15.196878974799372
802,-175.21735521408127
803,48.29183630357066
804,156.96858574595987
805,106.45945400397453
806,89.86803538825595
807,-795.8500489771083
808,-809.8936979401311
809,-578.1413955369204
810,-256.81254134886336
811,-185.83694597550203
812,-332.16306324803924
813,-31.37239745773568
814,-497.0198070735832
815,-346.15430020918
816,-365.3965273077275
817,-280.99082900485354
818,-761.7459382184062
819,-372.07342533961946
820,75.27530205051096
821,90.8059042661469
822,-612.347942486842
823,-908.3369085340486
824,-916.5612149550542
825,-861.4192572297077
826,-1135.13072318143
827,-1672.7697289657367
828,-1991.6033812922108
829,-2035.7673928687589
830,-1704.5948633855396
831,-1596.6841538763017
832,-2170.135934630699
833,-2350.621912115603
834,-1954.3637678997798
835,-2284.0385006403094
836,-2342.123282453916
837,-2062.035305309105
838,-2833.1586616307686
839,-1832.013272566834
840,-1496.0986234692778
841,-1709.1959210261325
842,-1973.571578813827
843,-2002.385145188004
844,-2127.20838706955
845,-2237.2596729442644
846,-2367.703724018715
847,-2271.5117978986145
848,-2308.433784451586
849,-2782.2577620281036
850,-3028.5911350328274
851,-2968.5019785887766
852,-2780.112924163756
853,-2576.412352370706
854,-2796.8987838129274
855,-2087.6528736751384
856,-1810.8688406709655
857,-1994.5920278184847
858,-2292.503805384548
859,-2442.441055981172
860,-2721.1907889515783
861,-2510.71494040028
862,-2612.451338164954
863,-2934.803818802281
864,-3304.868344673212
865,-3740.6240168033337
866,-3780.230703076858
867,-3720.233524240284
868,-3533.240092473078
869,-3328.1064066319204
870,-3550.2837374186706
871,-3729.8883953191676
872,-2962.978302420963
873,-2142.4386135590216
874,-1702.8833931468532
875,-1195.7398784758882
876,-1244.6984683757828
877,-950.671987204318
878,-876.6007871143387
879,-712.0017840279727
880,-938.7848006528114
881,-973.3801232090433
882,-1100.4031292822415
883,-1153.4754576345372
884,-427.4382359033755
885,-441.60870866795597
886,-166.00574879926552
887,603.7910773182612
888,526.0041153901016
889,-49.74669090156914
890,-820.6329430743822
891,-1246.1623833410117
892,-971.3628134456532
893,-1798.6778880788415
894,-1026.0023734036151
895,-966.9148985668594
896,-1009.9089638834952
897,-1315.4383461235693
898,-1601.6286029705782
899,-1920.7032574615494
900,-2065.729854362738
901,-2666.9564316276974
902,-2320.6179615708274
903,-1726.0377734172137
904,-1892.9032047735925
905,-1735.0245975218481
906,-1162.3069048648442
907,-1313.6059462549842
908,-1131.3684117585542
909,-1166.5795247362862
910,-1386.0075618169506
911,-1164.021592379246
912,-1242.084344074482
913,-958.764951723126
914,-772.8746029421281
915,-989.3531935345834
916,-1841.0766085637108
917,-2263.664500304268
918,-2316.280133228124
919,-2235.6028536916233
920,-2914.95063529145
921,-2550.5294201176766
922,-2803.95845598144
923,-2510.8435068704352
924,-2673.9010096168518
925,-2862.7241034795748
926,-2391.7636397268216
927,-2389.089100147673
928,-1732.7034547244245
929,-1124.458806296983
930,-1819.5338864386906
931,-1600.4054738815
932,-1446.4328875042604
933,-1472.0464362874343
934,-1551.7070191284529
935,-1964.8439133401075
936,-1464.5662064045523
937,-651.6115928549873
938,-221.64634047686607
939,-786.3836778314876
940,-1126.2887275494195
941,-1174.301213455195
942,-1704.6948170130056
943,-1965.0895376563826
944,-2122.5955274018074
945,-2464.056851798195
946,-2422.1795948914437
947,-2352.6307108867004
948,-2951.3855985352357
949,-2936.426760746528
950,-2936.786651551517
951,-2696.35522884723
952,-2136.577130743801
953,-1867.4834137390571
954,-2139.2211334519043
955,-2209.0905496697683
956,-1981.9934363726557
957,-1764.2878453191665
958,-1440.0062336844283
959,-1235.5629992178942
960,-1315.6411036548268
961,-1012.8171923418197
962,-752.258823899274
963,-1280.1809002158527
964,-1083.8232717640544
965,-725.8993250772728
966,-644.2285566294769
967,-1086.8182567862088
968,-952.9908167741389
969,-763.1902052390833
970,-680.3480195144975
971,-909.383761444525
972,-1252.0496822711407
973,-1051.5278558870382
974,-722.3173543771659
975,-800.0493287585441
976,-454.8046897403456
977,-452.7513614573399
978,-755.3280457692135
979,-620.5250144748406
980,-764.9919382942225
981,-468.5522792947021
982,-692.5693995561364
983,-938.7248927588339
984,-870.3200939295837
985,-745.5641950226774
986,-816.3601958440111
987,-592.9628485235748
988,-417.3827827264733
989,-526.1879654940807
990,-177.8162328782468
991,97.07721622323297
992,-291.9131270728463
993,-282.9757148945274
994,-35.90585579086853
995,-116.58583924889369
996,-839.276405596699
997,-657.5931261580043
998,-1170.9154311846119
999,-567.4688559216262
1000,-790.7566492514254
1001,-1135.9043484138729
1002,-259.47258298599627
1003,99.22489156901705
1004,286.6102068563016
1005,282.36412544479043
1006,394.9164390704721
1007,960.7377902860392
1008,1302.35268757887
1009,1139.7121628998489
1010,855.7878431851856
1011,603.5804813736692
1012,463.75999476393287
1013,435.92955094292836
1014,446.0189699622161
1015,140.13517886364096
1016,-325.5990237349603
1017,-733.2270185404832
1018,-1047.8270019803995
1019,-1247.7973423754058
1020,-1636.0372059472056
1021,-1909.592498952336
1022,-1974.6059690484365
1023,-1494.6647354181212
1024,-1529.8377280322197
1025,-1783.385398322914
1026,-2169.0210363969472
1027,-2226.4528371577053
1028,-2051.1859133528433
1029,-1903.0392602921233
1030,-2044.6538336004385
1031,-1942.8123688946534
1032,-1945.7419731523103
1033,-1968.9329795921308
1034,-1820.4243823173729
1035,-1718.7892942228339
1036,-1621.0078909906351
1037,-1514.7341424290405
1038,-1460.212041002259
1039,-1588.845214513507
1040,-1786.8403040511423
1041,-1901.3934896991984
1042,-1914.3270489508627
1043,-1828.6265204260194
1044,-1605.3644085243438
1045,-1757.5942011796203
1046,-1933.8645457286766
1047,-1789.927055943483
1048,-2000.542782896784
1049,-1811.4444290853212
1050,-1812.6102903763356
1051,-2048.9889146404703
1052,-1585.992408501639
1053,-1603.903098388612
1054,-1360.4996130293343
1055,-1148.752558662606
1056,-1109.1600045441737
1057,-1307.8120958401448
1058,-1580.8733332760294
1059,-1775.991618450112
1060,-1739.395816464992
1061,-1632.2853283013724
1062,-1742.7539858859936
1063,-1815.586364723559
1064,-1998.1690996563484
1065,-2259.0585666853613
1066,-2216.58707371125
1067,-1976.1499156981426
1068,-1703.3002498762705
1069,-1922.9684568655618
1070,-1816.8989143134488
1071,-1839.1245138885524
1072,-1499.1472913353227
1073,-1388.3520819765376
1074,-1457.008061696278
1075,-1493.8407474468042
1076,-1174.783653501972
1077,-808.1728674993077
1078,-539.3635495392751
1079,-50.42132209691943
1080,92.56225513663323
1081,304.85025782648665
1082,499.4138032098729
1083,74.31293934960492
1084,-311.98816275919387
1085,-955.103110901186
1086,-1529.3366444242267
1087,-1665.5059992557126
1088,-1895.4663167401723
1089,-2317.292463034953
1090,-2220.905685974315
1091,-2434.5791882784506
1092,-2514.748265035676
1093,-1978.4327611356123
1094,-1403.9652603052348
1095,-1241.7225292560802
1096,-684.6546367506882
1097,-327.2188721230145
1098,-236.79466932075835
1099,41.73920139257444
1100,-543.3726457514571
1101,-811.4565740338367
1102,-1782.6265296304423
1103,-1977.645173042679
1104,-2386.7301458056936
1105,-3482.2414507741096
1106,-3210.3979385690477
1107,-2822.9210153649024
1108,-2669.068448752382
1109,-2277.751191359405
1110,-2159.5093687218855
1111,-1881.0711724873393
1112,-1817.197584315769
1113,-1432.786266034407
1114,-1912.9632062383907
1115,-1835.9320187957553
1116,-2194.959371215454
1117,-2888.655509311904
1118,-3013.9135183013514
1119,-3376.861873287299
1120,-3600.0093843125997
1121,-3142.4527877381856
1122,-3493.843099213163
1123,-2946.3267786418783
1124,-3067.128763907371
1125,-2410.69491663475
1126,-2425.0995441207933
1127,-2649.2224630595424
1128,-3927.026114223385
1129,-3996.6495497329133
1130,-4039.602882296058
1131,-5163.782452261438
1132,-5250.183330772558
1133,-4647.323223578652
1134,-4205.1273091601815
1135,-3883.6656553907083
1136,-3757.5385235691156
1137,-3347.0494766255406
1138,-2935.375968127276
1139,-2810.0389672544575
1140,-2851.1738839007144
1141,-2910.6843495859234
1142,-3109.7879696666114
1143,-1449.2897313843437
1144,-1860.1978238011702
1145,-2410.339811675806
1146,-2565.1408792254883
1147,-2933.9162896345906
1148,-2812.5066160416773
1149,-2745.5647224462946
1150,-2832.2757674544837
1151,-2670.989276311758
1152,-3249.1656453493943
1153,-3442.320159980467
1154,-3804.2699424621674
1155,-3463.0084445777447
1156,-3214.621731148223
1157,-3036.044943961788
1158,-2546.8419488979393
1159,-2683.114240583993
1160,-2543.8487120018012
1161,-3230.770818303323
1162,-2828.909463617841
1163,-2038.5805375299342
1164,-1615.2969247567812
1165,-953.7779502983013
1166,-949.2264703211692
1167,-509.5249796266233
1168,-1771.3564648052156
1169,-2329.1920784951394
1170,-2249.68187765022
1171,-3399.5213903692706
1172,-2131.9473430113812
1173,-2286.290355068351
1174,-2820.1340139436334
1175,-5586.105807744645
1176,-5848.45418026163
1177,-5759.761026821508
1178,-5439.9824902061455
1179,-4839.541616408385
1180,-4754.559286833408
1181,-4290.843277837526
1182,-2906.0623558665775
1183,-3758.6969773924543
1184,-4175.1080407391
1185,-4495.757723926178
1186,-4050.5845537322125
1187,-4255.313187612215
1188,-3662.4757096488906
1189,-2263.4609953031345
1190,-2392.6281646292987
1191,-2719.4764143188245
1192,-2580.694397325555
1193,-2491.240275524316
1194,-2890.719990470578
1195,-2677.0043651308147
1196,-2602.0804550457624
1197,-2530.2656460518047
1198,-2791.8349194953457
1199,-2579.7760816108193
1200,-2021.985699275239
1201,-2363.999664465543
1202,-2152.512552547615
1203,-2258.455516479156
1204,-2133.1521232900386
1205,-1439.4134953564064
1206,-1119.0293295519339
1207,-1362.3654296527454
1208,-1456.928469541848
1209,-1315.1792890435613
1210,-830.5464168907063
1211,-922.1929570266526
1212,-1290.641436433658
1213,-929.0716738151274
1214,-741.9818012538021
1215,-1195.5912450892213
1216,-1973.309679125593
1217,-2612.817044498946
1218,-2397.8883933574375
1219,-2270.1471341046563
1220,-2622.0821541924133
1221,-2546.6816613412884
1222,-2997.282120311706
1223,-3259.570292354264
1224,-3408.1005493193506
1225,-3581.974990371452
1226,-3598.562844724266
1227,-3612.946097783668
1228,-3538.5314568200265
1229,-3733.611560858327
