datetime,AKI Kalby Active Power,Maximum temperature,Mean wind speed,Wind direction sin,Wind direction cos,BalancingPriceUpEUR,BalancingPriceDownEUR,DA_PriceEUR
2022-01-01 00:00:00,-0.06311806083313068,-0.45794457201204464,0.8686552389012971,-0.9986295347545738,-0.052335956242944306,0.0465998799999999,0.0465998799999999,0.0466
2022-01-01 01:00:00,-0.055727867677126376,-0.45794457201204464,0.38241817852998083,-0.9563047559630353,-0.2923717047227371,0.041329926,0.041329926,0.04133
2022-01-01 02:00:00,-0.09572402353324141,-0.5031868910941554,0.7564466865079162,-0.9945218953682734,-0.10452846326765336,0.0421797899999999,0.0421797899999999,0.04218
2022-01-01 03:00:00,-0.06372550761774394,-0.5182676641215256,0.4946267309233617,-1.0,-1.8369701987210297e-16,0.044370335,0.044370335,0.04437
2022-01-01 04:00:00,-0.02939180390785751,-0.47302534503941485,0.307612476934394,-0.9510565162951536,0.30901699437494723,0.037669601,0.037669601,0.03767
2022-01-01 05:00:00,-0.0156351578187751,-0.48810611806678517,-0.2534302850325093,-0.9961946980917455,0.08715574274765789,0.039700127,0.039700127,0.0397
2022-01-01 06:00:00,-0.036830598958333335,-0.5333484371488959,-0.6274587930104447,-0.9659258262890683,-0.25881904510252063,0.040590332,0.040590332,0.04059
2022-01-01 07:00:00,-0.04354968943997264,-0.5484292101762661,-0.2908331358303029,-0.9396926207859084,-0.34202014332566855,0.0432595979999999,0.0432595979999999,0.04326
2022-01-01 08:00:00,-0.04124786335989933,-0.5182676641215256,0.008389670552045383,-0.9993908270190958,-0.03489949670250076,0.049660458,0.043139919,0.0496599999999999
2022-01-01 09:00:00,-0.029584405653211805,-0.47302534503941485,-0.10381888184133518,-0.9975640502598243,0.06975647374412522,0.07005043,0.043130505,0.07005
2022-01-01 10:00:00,-0.0165060184439433,-0.41270225292993395,-0.5900559422126511,-0.9205048534524405,0.3907311284892735,0.076790154,0.050000671,0.07679
2022-01-01 11:00:00,-0.003329421904592803,-0.39762147990256363,-0.515250240617064,-0.6156614753256582,0.788010753606722,0.084100044,0.084100044,0.0841
2022-01-01 12:00:00,0.0006479073660714286,-0.5936715292583767,-0.8892787485949994,0.08715574274765817,0.9961946980917455,0.094739464,0.064999664,0.0947399999999999
2022-01-01 13:00:00,0.0003929280598958333,-0.5785907562310066,-1.1885015549773479,0.48480962024633706,0.8746197071393957,0.0967995679999999,0.050214481,0.0968
2022-01-01 14:00:00,0.00059005859375,-0.6238330753131173,-1.5251272121574897,0.6018150231520483,0.7986355100472928,0.097169365,0.055999462,0.09717
2022-01-01 15:00:00,-0.00724614054361979,-0.6539946213678578,-1.4877243613596962,0.7071067811865476,0.7071067811865476,0.101269417,0.101269417,0.10127
2022-01-01 16:00:00,-0.010861660156250001,-0.6992369404499685,-0.7022644946060317,0.9998476951563913,0.0174524064372836,0.126599876,0.101999596,0.1266
2022-01-01 17:00:00,-0.019007174479166666,-0.8048023516415603,-0.17862458343692234,0.8191520442889917,-0.5735764363510462,0.149969742,0.101999596,0.14997
2022-01-01 18:00:00,-0.037454608623798076,-0.8198831246689304,-0.17862458343692234,0.7547095802227721,-0.6560590289905072,0.14632959,0.101999596,0.14633
2022-01-01 19:00:00,-0.044886293480282745,-0.8349638976963007,-0.1412217326391286,0.7431448254773942,-0.6691306063588582,0.140279709,0.08,0.14028
2022-01-01 20:00:00,-0.054756513500548255,-0.8198831246689304,-0.40304168822368347,0.6819983600624985,-0.7313537016191705,0.121879913,0.08,0.12188
2022-01-01 21:00:00,-0.05749624956332571,-0.7746408055868198,-0.4778473898192706,0.6293203910498374,-0.7771459614569709,0.1026101,0.042953003,0.1026099999999999
2022-01-01 22:00:00,-0.07062387403660887,-0.7293984865047091,-0.17862458343692234,0.39073112848927377,-0.9205048534524404,0.095120018,0.04247966,0.09512
2022-01-01 23:00:00,-0.048211375013493096,-0.6389138483404876,-0.1412217326391286,0.13917310096006533,-0.9902680687415704,0.083110336,0.027999731,0.08311
2022-01-02 00:00:00,-0.042552519636256725,-0.5031868910941554,-0.06641603104354143,-0.2588190451025208,-0.9659258262890683,0.034730049,0.02699926,0.03473
2022-01-02 01:00:00,-0.08909417167467949,-0.4428637989846743,0.3450153277321874,-0.46947156278589086,-0.8829475928589269,0.044999664,0.034389835,0.03439
2022-01-02 02:00:00,-0.13458832135204202,-0.39762147990256363,0.08319537214763253,-0.7660444431189779,-0.6427876096865395,0.044999664,0.0343589059999999,0.03436
2022-01-02 03:00:00,-0.14440044631958004,-0.3825407068751934,0.6816409849123294,-0.6691306063588582,-0.7431448254773942,0.034099373,0.034099373,0.0341
2022-01-02 04:00:00,-0.1286372390998865,-0.32221761476571253,0.8312523881035034,-0.7193398003386512,-0.6946583704589973,0.029559605,0.029559605,0.02956
2022-01-02 05:00:00,-0.11469664447448343,-0.30713684173834205,1.018266642092471,-0.7313537016191705,-0.6819983600624986,0.033968937,0.02699926,0.03397
2022-01-02 06:00:00,-0.1194674054713031,-0.3372983877930827,0.8686552389012971,-0.7431448254773944,-0.6691306063588581,0.034518929,0.02699926,0.03452
2022-01-02 07:00:00,-0.11918289977477478,-0.3825407068751934,1.0556694928902648,-0.6819983600624984,-0.7313537016191706,0.041799232,0.02699926,0.0418
2022-01-02 08:00:00,-0.10709156849535204,-0.41270225292993395,0.7190438357101229,-0.7313537016191705,-0.6819983600624986,0.0489491,0.032109192,0.04895
2022-01-02 09:00:00,-0.08172159924404228,-0.4428637989846743,0.45722388012556797,-0.7771459614569706,-0.6293203910498378,0.0600094149999999,0.0329993929999999,0.06001
